fig_num,name,num_parts
fig-000150,Minifig from 5013-1,3
fig-000151,Worriz with Pearl Gold Shoulder Armor,6
fig-000152,Sandy Moondust,5
fig-000153,Minifig from 6526-1,5
fig-000154,Minifig from 3390-1,3
fig-000155,Minifig from 1740-1,6
fig-000156,"Ninja, Red",4
fig-000157,Biff Starling,5
fig-000158,Minifig from 5537-1,4
fig-000159,Minifig from 4589-1,5
fig-000160,Minifig from 6673-1,4
fig-000161,Minifig from 6663-1,7
fig-000162,Minifig from 6187-1,4
fig-000163,Shadow Trooper,4
fig-000164,Minifig from 30014-1,5
fig-000165,Minifig from 7834-1,4
fig-000166,Imperial Officer / Captain / Commandant / Commander in Battle Armor,4
fig-000167,Minifig from 9784-1,4
fig-000168,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",4
fig-000169,Minifig from 30226-1,5
fig-000170,"Man - White Torso, White Legs, Red Hat, Black Legs",4
fig-000171,Minifig from 8831-15,4
fig-000172,Minifig from 5573-1,4
fig-000173,Minifig from 5373-1,4
fig-000174,Minifig from 1890-1,5
fig-000175,Minifig from 7901-1,4
fig-000176,Minifig from 8804-11,4
fig-000177,Minifig from 8804-8,6
fig-000178,Zombie Driver,4
fig-000179,"Mia - Medium Blue Top, Lime Shorts",4
fig-000180,Dastan,4
fig-000181,Minifig from 6605-1,4
fig-000182,Minifig from 8402-1,4
fig-000183,Minifig from 6660-1,4
fig-000184,Minifig from 5924-1,5
fig-000185,Minifig from 7236-1,4
fig-000186,Sherry Scratchen-Post (CMF),4
fig-000188,"Olivia - Magenta Top, Dark Blue Shorts",4
fig-000189,"Flexible Gymnast, Team GB (CMF)",5
fig-000190,Rebel Trooper in Hoth Uniform with Moustache,6
fig-000191,Minifig from 5618-1,4
fig-000192,"Emma - Lavender Top, Bright Light Blue Skirt",4
fig-000193,Slithraa,3
fig-000194,Spaceman (2447 Visor),5
fig-000195,Harry Cane,5
fig-000196,TIE Interceptor Pilot with Plain Black Head,4
fig-000197,Minifig from 8804-14,4
fig-000198,Minifig from 7235-1,5
fig-000199,"Emma - Medium Blue Crop Top, Dark Pink Shorts",4
fig-000200,Minifig from 2870-1,4
fig-000201,Minifig from 71007-7,4
fig-000202,"Olivia - White Top, Sand Blue Skirt",4
fig-000203,Minifig from 2882-1,5
fig-000204,Minifig from 8804-12,4
fig-000205,Minifig from 1560-1,5
fig-000206,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",4
fig-000207,Minifig from 6633-1,4
fig-000208,Minifig from 6611-1,4
fig-000209,Minifig from 6698-1,6
fig-000210,Razcal with Shoulder Armor,10
fig-000211,"Waiter, Man, Black Suit and Bow Tie, Chef Hat",4
fig-000212,Minifig from 850798-1,4
fig-000213,Lord Garmadon (The Golden Weapons),5
fig-000214,Grumlo with Flat Silver Shoulder Armor,6
fig-000215,Minifig from 6601-1,4
fig-000216,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",4
fig-000217,"Archer (Scale Mail on Red) - Black Arms, Light Gray Legs",5
fig-000218,Man with Blue Torso and Black Pants,4
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",4
fig-000220,Minifig from 6634-1,4
fig-000221,Minifig from 1572-1,4
fig-000222,"Tina - White/Silver Top, Dark Purple Skirt",4
fig-000223,Martian Manhunter (J'onn J'onzz),4
fig-000224,Minifig from 7324-22,4
fig-000225,Policeman with Button Jacket,4
fig-000226,Minifig from 7891-1,7
fig-000227,Superman,5
fig-000228,Minifig from 7567-1,4
fig-000229,Minifig from 6431-1,4
fig-000230,Minifig from 850502-1,4
fig-000231,Minifig from 1252-1,4
fig-000232,Eris in Silver Outfit with Pearl Gold Shoulder Armor,10
fig-000233,"Knight (Dragon Knights) - Light Gray Legs, Black Hips",4
fig-000234,Minifig from 7688-1,4
fig-000235,Zev Senesca with Plain Helmet,4
fig-000236,"LEGOLAND Police - Black, White Hat, White Belt",5
fig-000237,"LEGOLAND BLue, White Hat",4
fig-000238,Boba Fett,4
fig-000239,"LEGOLAND Blue Torso, Black Legs, Red Hat",4
fig-000240,"LEGOLAND Red Torso, Blue Legs, Black Hat",4
fig-000241,Minifig from 8831-7,7
fig-000242,Minifig from 1750-1,5
fig-000243,Minifig from 7553-4,4
fig-000244,Batzarro,5
fig-000245,Larry the Barista (CMF),4
fig-000246,Minifig from 6618-1,5
fig-000247,"Stephanie - White Jersey, Dark Blue Trousers",4
fig-000248,Minifig from 7344-1,4
fig-000249,Shrunken,4
fig-000250,Captain Jack Sparrow with Tricorne Hat,4
fig-000251,"Knight (Scale Mail on Red) - Black Arms, Blue Legs, Black Chin-Guard",4
fig-000252,"Chef - White Torso, Light Gray Legs",4
fig-000253,"Conductor - Dark Blue Jacket, Dark Blue Legs, Dark Red Hat, Glasses",4
fig-000254,"Construction Worker in Orange Jacket with Zipper and Reflective Stripes, Red Helmet, Smirk and Stubble Beard",4
fig-000255,Minifig from 71007-6,6
fig-000256,Spitta,3
fig-000257,Minifig from 2149-1,4
fig-000258,"Fireman, Fire Logo and Zipper, Black Legs, White Helmet",4
fig-000259,T-16 Skyhopper Pilot with Red Helmet,4
fig-000260,Aquaraider 2,7
fig-000261,Emmet with Neck Bracket,5
fig-000262,Emmet in Pajamas,4
fig-000263,"Classic Spaceman, White with Airtanks (3842b Helmet)",5
fig-000264,Radio DJ Robot,4
fig-000265,Minifig from 3180-1,4
fig-000266,Minifig from 7904-23,7
fig-000267,"Emmet, Western Outfit",6
fig-000268,"Andrea - White Top, Bright Light Orange Skirt",4
fig-000269,Soccer Player Coca-Cola Midfielder 1,4
fig-000270,Darth Maul in Santa Outfit,5
fig-000271,Minifig from 7904-8,4
fig-000272,Finn,4
fig-000273,Soccer Player Coca-Cola Goalie,4
fig-000274,"Timmy - Blue Legs, Red Cap",4
fig-000275,"Olivia - Magenta Top, Bright Light Blue Skirt",4
fig-000276,"Harry Potter, Black Tuxedo",4
fig-000277,Pepper Roni,4
fig-000278,BR Anniversary Minifigure,4
fig-000279,The Collector,5
fig-000280,"Pirate - Shirt with Knife, Blue Legs, Black Bicorne",4
fig-000281,Rebel Trooper / Rebel Fleet Trooper with Smile,5
fig-000282,Jay NRG,4
fig-000283,Minifig from 1285-1,5
fig-000284,Minifig from 60000-1,5
fig-000285,"Man Blue Shirt, Blue Legs, Red Construction Helmet",4
fig-000286,Lieutenant Maverick,5
fig-000287,"Snowboarder, Black Jacket, Black Hat, Neck Bracket",5
fig-000288,Minifig from 6508-1,6
fig-000289,Minifig from 643-1,4
fig-000290,Robber with Tattered Green Vest,4
fig-000291,Tonto,5
fig-000292,"Ninja, Black",4
fig-000293,Minifig from 1251-1,5
fig-000294,"Soccer Player Goalie Blue Torso with Silver print, Black Legs, Blue Cap",4
fig-000295,Minifig from 3573-1,4
fig-000296,Minifig from 5532-1,4
fig-000297,"Pirate - Red/Black Stripes, Blue Legs, Blue Bandana",4
fig-000298,Luke Skywalker with Medal (White in Eyes),4
fig-000299,Luke Skywalker with Medal (No White in Eyes),4
fig-000300,"Knight (Breastplate on Red) - Blue Legs, Dark Gray Neck-Protector, Plastic Cape",5
fig-000301,Grip - Light Gray Legs,4
fig-000302,"Andrea - Bright Light Orange Top, Light Aqua Skirt",4
fig-000303,Clone Trooper,4
fig-000304,Minifig from 6675-1,4
fig-000305,Shadow Trooper / Shadow ARF Trooper,4
fig-000306,Assistant - Female,4
fig-000307,Minifig from 1289-1,4
fig-000308,Minifig from 1742-1,4
fig-000309,Actor 1,4
fig-000310,"Man - White Torso, Black Legs Brown Hair",4
fig-000311,Leonidas,4
fig-000312,Stormtrooper with Chrome Silver Armor,4
fig-000313,Minifig from 30224-1,4
fig-000314,Minifig from 1741-1,5
fig-000315,"Soccer Player, Dutch Team",4
fig-000316,Boba Fett with White Armor,4
fig-000317,"Lillie - Christmas Sweater, REd Skirt",4
fig-000318,Quicky the Nesquik Bunny,4
fig-000319,"Man - Blue Torso, White Legs, Black Hair",4
fig-000320,Soccer Player Coca-Cola Defender 4,4
fig-000321,"Soccer Referee, Green Torso, Black Legs",4
fig-000322,Cole NRG,4
fig-000323,"Captain Jack Sparrow, Voodoo",4
fig-000324,Minifig from 5000281-1,4
fig-000325,Baron Von Barron (Pilot),6
fig-000326,"Soccer Player White Torso, Blue Legs, Brown Hair, Standard Face",4
fig-000327,Lord Sam Sinister with Dark Gray Pants,4
fig-000328,Brickster with Dark Gray Hat,4
fig-000329,"Shogun, Armor and Helmet with Horn",6
fig-000330,Lobot,3
fig-000331,Bumblebee,5
fig-000332,"Boba Fett, Child",4
fig-000333,Minifig from 1287-1,5
fig-000334,Minifig from 60105-1,7
fig-000335,Minifig from 1730-1,4
fig-000336,Crug,4
fig-000337,Dr. Peter Venkman (Dimensions),5
fig-000338,Jango Fett in Santa Outfit,5
fig-000339,Bat Lord (Fright Knights) - no Cape,4
fig-000340,Minifig from 30310-1,5
fig-000341,"Classic Spaceman, Yellow with Airtanks (3842b Helmet)",5
fig-000342,Minifig from 6602-1,4
fig-000343,Minifig from 3177-1,4
fig-000344,Minifig from 106-1,4
fig-000345,Minifig from 6674-1,4
fig-000346,Minifig from 6191-1,4
fig-000347,Minifig from 70123-1,6
fig-000348,Minifig from 6613-1,4
fig-000349,"Knight (Royal Knights) - Black Legs, Dark Gray Neck-Protector",4
fig-000350,"Anna - Black Vest, Yellowish Green Dress, Dark Turquoise Cape",5
fig-000351,Minifig from 1974-2,5
fig-000352,Minifig from 6695-1,4
fig-000353,Minifig from 1068-1,5
fig-000354,Minifig from 1070-1,5
fig-000355,Sykor,4
fig-000356,Aquashark Hybrid,6
fig-000357,Docs,5
fig-000358,Minifig from 1096-1,5
fig-000359,Johnny Thunder (Desert),4
fig-000360,Minifig from 1188-1,5
fig-000361,Minifig from 1180-1,4
fig-000362,"Ninja, Dark Gray",4
fig-000363,Minifig from 1189-1,6
fig-000364,"Santa, Plain Red with White Hips",5
fig-000365,Minifig from 7242-1,4
fig-000366,Minifig from 8805-2,4
fig-000367,Minifig from 1250-1,5
fig-000368,Ghost Ninja Attila / Ming / Spyder,4
fig-000369,Mr. Cunningham,4
fig-000370,Minifig from 1284-1,5
fig-000371,Minifig from 1283-1,5
fig-000372,"Bandit, Black Hard Hat",4
fig-000373,"Classic Spaceman, Blue with Airtanks (3842a Helmet)",5
fig-000374,"Santa, Plain Red with Black Hips",5
fig-000375,Minifig from 3179-1,4
fig-000376,"Cameraman - Blue Legs, Blue Cap",4
fig-000377,Stunt Driver,5
fig-000378,Minifig from 71007-5,5
fig-000379,"LEGOLAND Blue Torso, Red Legs, Black Hat",4
fig-000381,"Soccer Player White Torso, Blue Legs #11",4
fig-000382,"Pirate - Blue Jacket, Light Gray Legs, Black Tricorne",4
fig-000383,"Pirate - Red Stripes, Blue Legs, Red Bandana, 3626a",4
fig-000384,Minifig from 1468-1,4
fig-000385,Minifig from 1467-1,4
fig-000386,Minifig from 1461-1,5
fig-000387,Minifig from 1496-1,4
fig-000388,"Knight (Scale Mail on Red) - Red Arms, Black Legs, Dark Gray Neck-Protector",4
fig-000389,Minifig from 1517-1,5
fig-000390,"Knight (Scale Mail on Blue) - Black Arms, Blue Legs, Dark Gray Neck-Protector",4
fig-000391,Minifig from 1612-1,5
fig-000392,"Olivia - Dark Pink Top, Dark Blue Skirt",4
fig-000393,Minifig from 9764-1,4
fig-000394,Minifig from 1773-1,4
fig-000395,Minifig from 1761-1,5
fig-000396,Minifig from 1762-1,5
fig-000397,"Santa, Plain Red with Light Gray Legs, and Back Basket",6
fig-000398,Minifig from 1791-1,5
fig-000399,Minifig from 1790-1,5
fig-000400,Soldier (Imperial Guard) - Yellow Epaulettes,5
fig-000401,Minifig from 1860-1,4
fig-000402,Minifig from 3178-1,4
fig-000403,"Man - Green Torso, Red Legs, Red Cap",4
fig-000404,"Pirate - Blue Stripes, Black Legs, Black Tricorne",4
fig-000405,Minifig from 1898-1,5
fig-000406,Blacktron I,6
fig-000407,"Knight (Scale Mail on Red) - Black Arms, Black Legs, Black Neck-Protector",4
fig-000408,"Man - Blue Torso, Black Legs, red hat",4
fig-000409,Minifig from 1958-1,5
fig-000410,Minifig from 1990-1,5
fig-000411,Indiana Jones,4
fig-000412,Minifig from 1959-1,5
fig-000413,Minifig from 20002-1,7
fig-000414,Ned Flanders (CMF),3
fig-000415,Ogel Minion,5
fig-000416,Minifig from 8827-2,4
fig-000417,Zane (The Golden Weapons),4
fig-000418,Kai (The Golden Weapons),4
fig-000419,Minifig from 6577-1,4
fig-000420,Minifig from 7553-10,4
fig-000421,Minifig from 2181-1,4
fig-000422,Cole DX,4
fig-000423,Minifig from 2188-1,4
fig-000424,Minifig from 2186-1,4
fig-000425,Minifig from 1561-1,5
fig-000426,Master Wu (The Golden Weapons),5
fig-000427,Minifig from 31009-1,4
fig-000428,Minifig from 2535-1,5
fig-000429,Minifig from 2584-1,5
fig-000430,"Knight (Fright Knights) - Red Legs, Black Hips",4
fig-000431,Minifig from 2536-1,8
fig-000432,Minifig from 2537-1,6
fig-000433,Minifig from 1563-1,5
fig-000434,Minifig from 7638-1,4
fig-000435,Minifig from 7634-1,4
fig-000436,Minifig from 7631-1,4
fig-000437,"Boy, White and Blue Hoodie, Short Blue Legs, Red Cap",4
fig-000438,"Indian - Tan Clothing, Blue Trim, Quiver",6
fig-000439,"Classic Spaceman, White with Airtanks (2446 Helmet) (3626b Head)",5
fig-000440,Minifig from 6480-1,5
fig-000441,"Knight (Crusader Lion) - Blue Legs and Hips, Chin-Guard",4
fig-000442,Minifig from 2887-1,4
fig-000443,Minifig from 30003-1,4
fig-000444,Minifig from 30011-1,5
fig-000445,Minifig from 30013-1,4
fig-000446,Minifig from 30019-1,5
fig-000447,Jay (The Golden Weapons),4
fig-000448,Woody with Molded Head,3
fig-000449,Green Army Man,5
fig-000450,Jake Raines in Hat with Goggles,5
fig-000451,Gypsy Moth / Navigator Sharp with Airtanks,5
fig-000452,Rattla,4
fig-000453,Minifig from 30062-1,5
fig-000454,Minifig from 30061-1,4
fig-000455,Jay ZX (3626c Head),4
fig-000456,"Mia - Medium Blue Top, Lime Shorts",4
fig-000457,"Harry Potter, Gryffindor Sweater with Crest",4
fig-000458,Minifig from 30150-1,5
fig-000459,Minifig from 8833-5,6
fig-000460,Hawkeye with Red Glasses,4
fig-000461,Lex Luthor with Dark Purple Legs and Bright Green Shoulder Armor,7
fig-000462,Minifig from 6677-1,4
fig-000463,Winter Soldier,4
fig-000464,Lord Sam Sinister,4
fig-000465,Minifig from 30221-1,4
fig-000466,"Geonosian, Dark Tan",3
fig-000467,Minifig from 9780-1,4
fig-000468,Minifig from 1562-1,6
fig-000469,Professor Webb / Locust with Airtanks,5
fig-000470,Insectoids Droid / Gigabot,4
fig-000471,"Harry Potter, Yellow Skin, Hogwarts Sweater with Crest, Black Hat, Cape with Stars",6
fig-000472,Minifig from 4103-2,4
fig-000473,Hulk Dark Red Stripes and Avengers Logo on Trousers,4
fig-000474,"Ninja, Master",5
fig-000475,"Shogun, Armor and Helmet with Horn, White Robe",6
fig-000476,Minifig from 3234-1,4
fig-000477,"Timmy, Green Legs, Blue Cap",4
fig-000478,"Man - White Torso, Blue Overall, Red Helmet",4
fig-000479,"Santa, Plain Red, White Hands, White Eyebrows",5
fig-000480,"Boy, Plain Red Torso, Short Blue Legs, Reddish Brown Hair",4
fig-000481,Minifig from 60055-1,5
fig-000482,Chief,5
fig-000483,Minifig from 1831-1,4
fig-000484,Jing Lee the Wanderer,4
fig-000485,"Worker - Orange Safety Vest, Blue Legs, Red Helmet, Stubble Beard",4
fig-000486,Minifig from 30031-1,4
fig-000487,"RoboForce, Yellow",6
fig-000488,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs #11",4
fig-000489,Buzz Lightyear with Molded Head,7
fig-000490,"Soccer Player Red Torso, White Legs, #18",4
fig-000491,Minifig from 71000-4,6
fig-000492,"Emma - Sand Green Top, Dark Pink Skirt",4
fig-000493,Minifig from 3500-1,3
fig-000494,Minifig from 3529-1,3
fig-000495,Minifig from 3530-1,3
fig-000496,"Snowboarder, Dark Gray, Red Helmet, White Vest",6
fig-000497,Minifig from 3548-1,3
fig-000498,Minifig from 3550-1,3
fig-000499,Minifig from 8805-6,5
fig-000500,Minifig from 2885-1,4
fig-000501,LEGOLAND Red with White Cowboy Hat,4
fig-000502,Minifig from 71000-14,4
fig-000503,"LEGOLAND Red Torso, Red Legs, White Hat",4
fig-000504,Hera Syndulla,4
fig-000505,"Wizard (Dragon Knights) - Majisto/Wiz, no Cape",5
fig-000506,AT-DP Pilot,4
fig-000507,Clone Trooper with Printed Legs,4
fig-000508,Hikaru in Gold Armor,4
fig-000509,Han Solo with Dark Blue Legs and Vest with Pockets,4
fig-000510,Imperial Crew in Black Uniform and Cavalry Cap,4
fig-000511,"Liza - Lime/White Top, Dark Pink Skirt",4
fig-000512,"Olivia - Orange Top, Bright Pink Skirt",4
fig-000513,"Andrea - Lime Top, Light Aqua Skirt",4
fig-000514,Minifig from 6528-1,5
fig-000515,Minifig from 6645-1,4
fig-000516,Darth Vader,5
fig-000517,Policeman with Life Jacket,5
fig-000518,Minifig from 71002-9,4
fig-000519,Naida Riverheart with Flower in Hair,5
fig-000520,Minifig from 1581-2,4
fig-000521,"Cameraman - Red Legs, Red Cap",4
fig-000522,Actress,4
fig-000523,"Cameraman - Red Torso, White Legs, White Cap",4
fig-000524,Actor 2,4
fig-000525,Actor 3,4
fig-000526,Pharaoh Hotep,4
fig-000527,"Fireman with Reflective Stripes and Radio, White Fire Helmet, and Beard Stubble",4
fig-000528,Nya (The Golden Weapons),4
fig-000529,Stitch (CMF),3
fig-000530,Minifig from 2871-1,8
fig-000531,Minifig from 6363-1,4
fig-000532,Alien (CMF),3
fig-000533,"Stephanie - Lavender Jacket, Scarf, Light Aqua Skirt",4
fig-000534,Minifig from 709-1,4
fig-000535,Minifig from 30225-1,5
fig-000536,Minifig from 71002-12,4
fig-000537,Aladdin (CMF),4
fig-000538,Genie (CMF),5
fig-000539,Baron Von Barron (Pilot) with Light Gray Hat,6
fig-000540,"Man - Green Jacket, Black Legs, Sunglasses",4
fig-000541,Minifig from 4157-1,4
fig-000542,Minifig from 7246-1,4
fig-000543,Minifig from 71002-16,4
fig-000544,Minifig from 4271-1,4
fig-000545,"Horseback Rider, Team GB (CMF)",5
fig-000546,Minifig from 6525-1,7
fig-000547,"Man - Green Jacket, White Legs",4
fig-000548,Alice (CMF),5
fig-000549,Minifig from 107-2,4
fig-000550,Cheshire Cat (CMF),4
fig-000551,Minifig from 71007-10,4
fig-000552,Daisy Duck with Lavender Top (CMF),5
fig-000553,TIE Fighter Pilot with Plain Brown Head,4
fig-000554,Soccer Player Coca-Cola Defender,4
fig-000555,Minifig from 4444-1,4
fig-000556,Soccer Player Coca-Cola Forward 1,4
fig-000557,Soccer Player Coca-Cola Forward 2,4
fig-000558,Soccer Player Coca-Cola Defender 3,4
fig-000559,Soccer Player Coca-Cola Midfielder 2,4
fig-000560,Soccer Player Coca-Cola Forward 3,4
fig-000561,Soccer Player Coca-Cola Forward 4,4
fig-000562,Soccer Player Coca-Cola Referee,4
fig-000563,Soccer Player Coca-Cola Hot Dog Girl,4
fig-000564,Soccer Player Coca-Cola Doctor,4
fig-000565,"TV Worker - White Torso, Blue Legs, Blue Cap, Soccer",4
fig-000566,"Red Riding Jacket with Award Ribbon, Black Riding Helmet, and White Legs",4
fig-000567,Soccer Player Coca-Cola Secret A,4
fig-000568,Soccer Player Coca-Cola Secret B,4
fig-000569,Donald Duck (CMF),5
fig-000570,"Olivia - Bright Pink Top, Lime Trousers",4
fig-000571,"C-3PO, Chrome Gold (30th Anniversary)",3
fig-000572,Minifig from 8831-2,4
fig-000573,"Wizard (Dragon Knights) - Majisto/Wiz, Plastic Cape",6
fig-000574,Minnie Mouse with Dark Pink with White Spots Dress and Bow (CMF),5
fig-000575,Royal Soldier,4
fig-000576,Mickey Mouse (CMF),3
fig-000577,Minifig from 6658-1,4
fig-000578,"Train Worker - Red Vest, Blue Legs, White Helmet, Plain Face",4
fig-000579,Minifig from 71007-9,4
fig-000580,"Train Worker - Red Vest, Dark Gray Legs, White Helmet, Sunglasses",4
fig-000581,"Darth Vader, Chrome Black",5
fig-000582,"Conductor - Yellow Jacket, Black legs, Red Hat",4
fig-000583,Minifig from 71007-13,4
fig-000584,"Conductor - Blue Jacket, Black Legs, Red Hat",4
fig-000585,Mr. Incredible (CMF),4
fig-000586,Syndrome (CMF),5
fig-000587,Minifig from 4641-1,5
fig-000588,"LEGOLAND White Torso, Red Legs, Red Hat",4
fig-000589,Minifig from 8833-4,4
fig-000590,Peter Pan (CMF),4
fig-000591,Captain Hook (CMF),4
fig-000592,Minifig from 71007-2,5
fig-000593,"Hermione Granger, Yellow Skin, Medium Blue Sweater",4
fig-000594,"Ron Weasley, Yellow Skin, Blue Sweater, Cape with Stars",5
fig-000595,"Harry Potter, Yellow Skin, Gryffindor Sweater with Crest, Violet Cape",5
fig-000596,Razar with Flat Silver Shoulder Armor,10
fig-000597,Ursula (CMF),4
fig-000598,"Man - White Torso, Blue Overall, Blue Cap",4
fig-000599,Minifig from 1847-1,4
fig-000600,Ariel (CMF),4
fig-000601,Darth Maul with Printed Red Arms,4
fig-000602,Minifig from 4898-1,6
fig-000603,Minifig from 8833-9,6
fig-000604,Minifig from 1247-1,4
fig-000605,Joachim Low (CMF),4
fig-000606,Minifig from 6614-1,7
fig-000607,Minifig from 60032-1,4
fig-000608,"Jay, Kendo Outfit",5
fig-000609,Minifig from 4992-1,4
